simulation time (min);1440.0;only events that occure within the simulation time are considered (events after that time are ignored)
manager id;event;time;result;involved station
1;EventManagerAddBikesToStation;10813;SUCCESS;136
1;EventManagerAddBikesToStation;10888;SUCCESS;78
1;EventManagerAddBikesToStation;10902;SUCCESS;78
1;EventManagerAddBikesToStation;10916;SUCCESS;136
1;EventManagerAddBikesToStation;10917;SUCCESS;78
1;EventManagerAddBikesToStation;10998;SUCCESS;168
1;EventManagerAddBikesToStation;11047;SUCCESS;136
1;EventManagerAddBikesToStation;11075;SUCCESS;168
1;EventManagerAddBikesToStation;11125;SUCCESS;168
1;EventManagerAddBikesToStation;11145;SUCCESS;136
1;EventManagerAddBikesToStation;11150;SUCCESS;136
1;EventManagerAddBikesToStation;11181;SUCCESS;168
1;EventManagerAddBikesToStation;11205;SUCCESS;78
1;EventManagerAddBikesToStation;11209;SUCCESS;78
1;EventManagerAddBikesToStation;11233;SUCCESS;168
1;EventManagerAddBikesToStation;11292;SUCCESS;78
1;EventManagerAddBikesToStation;11299;SUCCESS;168
1;EventManagerAddBikesToStation;11360;SUCCESS;168
1;EventManagerAddBikesToStation;11367;SUCCESS;78
1;EventManagerAddBikesToStation;11373;SUCCESS;78
1;EventManagerAddBikesToStation;11374;SUCCESS;78
1;EventManagerAddBikesToStation;11377;SUCCESS;78
1;EventManagerAddBikesToStation;11409;SUCCESS;78
1;EventManagerAddBikesToStation;11419;SUCCESS;77
1;EventManagerAddBikesToStation;11437;SUCCESS;77
1;EventManagerAddBikesToStation;11450;SUCCESS;77
1;EventManagerAddBikesToStation;11681;SUCCESS;77
1;EventManagerAddBikesToStation;11705;SUCCESS;77
1;EventManagerAddBikesToStation;11758;SUCCESS;128
1;EventManagerAddBikesToStation;11791;SUCCESS;77
1;EventManagerAddBikesToStation;11985;SUCCESS;77
1;EventManagerAddBikesToStation;11999;SUCCESS;77
1;EventManagerAddBikesToStation;12154;SUCCESS;128
1;EventManagerAddBikesToStation;12261;SUCCESS;128
1;EventManagerAddBikesToStation;12327;SUCCESS;128
1;EventManagerAddBikesToStation;12329;SUCCESS;128
1;EventManagerAddBikesToStation;12374;SUCCESS;128
1;EventManagerTakeBikesFromStation;12600;SUCCESS;102
1;EventManagerTakeBikesFromStation;12600;SUCCESS;167
1;EventManagerTakeBikesFromStation;12600;SUCCESS;167
1;EventManagerTakeBikesFromStation;12600;SUCCESS;167
1;EventManagerTakeBikesFromStation;12600;SUCCESS;167
1;EventManagerTakeBikesFromStation;12600;SUCCESS;167
1;EventManagerTakeBikesFromStation;12600;SUCCESS;167
1;EventManagerTakeBikesFromStation;12600;SUCCESS;90
1;EventManagerTakeBikesFromStation;12600;SUCCESS;74
1;EventManagerTakeBikesFromStation;12600;SUCCESS;128
1;EventManagerTakeBikesFromStation;12600;SUCCESS;75
1;EventManagerTakeBikesFromStation;12600;SUCCESS;110
1;EventManagerTakeBikesFromStation;12600;SUCCESS;110
1;EventManagerTakeBikesFromStation;12600;SUCCESS;110
1;EventManagerTakeBikesFromStation;12600;SUCCESS;110
1;EventManagerTakeBikesFromStation;12600;SUCCESS;9
1;EventManagerTakeBikesFromStation;12600;SUCCESS;110
1;EventManagerTakeBikesFromStation;12600;SUCCESS;110
1;EventManagerTakeBikesFromStation;12600;SUCCESS;64
1;EventManagerTakeBikesFromStation;12600;SUCCESS;64
1;EventManagerTakeBikesFromStation;12600;SUCCESS;91
1;EventManagerTakeBikesFromStation;12600;SUCCESS;91
1;EventManagerTakeBikesFromStation;12600;SUCCESS;91
1;EventManagerTakeBikesFromStation;12600;SUCCESS;9
1;EventManagerTakeBikesFromStation;12600;SUCCESS;91
1;EventManagerTakeBikesFromStation;12600;SUCCESS;91
1;EventManagerTakeBikesFromStation;12600;SUCCESS;9
1;EventManagerTakeBikesFromStation;12600;SUCCESS;9
1;EventManagerTakeBikesFromStation;12600;SUCCESS;130
1;EventManagerTakeBikesFromStation;12600;SUCCESS;91
1;EventManagerTakeBikesFromStation;12600;SUCCESS;130
1;EventManagerTakeBikesFromStation;12600;SUCCESS;130
1;EventManagerTakeBikesFromStation;12600;SUCCESS;130
1;EventManagerTakeBikesFromStation;12600;SUCCESS;130
1;EventManagerTakeBikesFromStation;12600;SUCCESS;130
1;EventManagerTakeBikesFromStation;12600;SUCCESS;130
1;EventManagerTakeBikesFromStation;12600;SUCCESS;130
1;EventManagerTakeBikesFromStation;12600;SUCCESS;64
1;EventManagerTakeBikesFromStation;12600;SUCCESS;130
1;EventManagerTakeBikesFromStation;12600;SUCCESS;64
1;EventManagerTakeBikesFromStation;12600;SUCCESS;64
1;EventManagerTakeBikesFromStation;12600;SUCCESS;64
1;EventManagerTakeBikesFromStation;12600;SUCCESS;64
1;EventManagerTakeBikesFromStation;12600;SUCCESS;91
1;EventManagerTakeBikesFromStation;12600;SUCCESS;91
1;EventManagerTakeBikesFromStation;12600;SUCCESS;69
1;EventManagerTakeBikesFromStation;12600;SUCCESS;69
1;EventManagerTakeBikesFromStation;12600;SUCCESS;69
1;EventManagerTakeBikesFromStation;12600;SUCCESS;69
1;EventManagerTakeBikesFromStation;12600;SUCCESS;69
1;EventManagerTakeBikesFromStation;12600;SUCCESS;64
1;EventManagerTakeBikesFromStation;12600;SUCCESS;64
1;EventManagerTakeBikesFromStation;12600;SUCCESS;64
1;EventManagerTakeBikesFromStation;12600;SUCCESS;64
1;EventManagerTakeBikesFromStation;12600;SUCCESS;64
1;EventManagerTakeBikesFromStation;12600;SUCCESS;69
1;EventManagerTakeBikesFromStation;12600;SUCCESS;69
1;EventManagerTakeBikesFromStation;12600;SUCCESS;69
1;EventManagerTakeBikesFromStation;12600;SUCCESS;69
1;EventManagerTakeBikesFromStation;12600;SUCCESS;130
1;EventManagerAddBikesToStation;12715;SUCCESS;88
1;EventManagerAddBikesToStation;12749;SUCCESS;75
1;EventManagerAddBikesToStation;12833;SUCCESS;90
1;EventManagerAddBikesToStation;13044;SUCCESS;74
1;EventManagerAddBikesToStation;13163;SUCCESS;163
1;EventManagerAddBikesToStation;13221;SUCCESS;163
1;EventManagerAddBikesToStation;13291;SUCCESS;163
1;EventManagerAddBikesToStation;13322;SUCCESS;133
1;EventManagerAddBikesToStation;13333;SUCCESS;133
1;EventManagerAddBikesToStation;13356;SUCCESS;163
1;EventManagerAddBikesToStation;13388;SUCCESS;133
1;EventManagerAddBikesToStation;13423;SUCCESS;163
1;EventManagerAddBikesToStation;13474;SUCCESS;133
1;EventManagerAddBikesToStation;13480;SUCCESS;163
1;EventManagerAddBikesToStation;13675;SUCCESS;133
1;EventManagerAddBikesToStation;13828;SUCCESS;133
1;EventManagerAddBikesToStation;15541;SUCCESS;134
1;EventManagerAddBikesToStation;15882;SUCCESS;87
1;EventManagerAddBikesToStation;15933;SUCCESS;87
1;EventManagerAddBikesToStation;16017;SUCCESS;87
1;EventManagerAddBikesToStation;16097;SUCCESS;87
1;EventManagerAddBikesToStation;16179;SUCCESS;49
1;EventManagerTakeBikesFromStation;16200;SUCCESS;88
1;EventManagerTakeBikesFromStation;16200;SUCCESS;78
1;EventManagerTakeBikesFromStation;16200;SUCCESS;9
1;EventManagerTakeBikesFromStation;16200;SUCCESS;9
1;EventManagerTakeBikesFromStation;16200;SUCCESS;9
1;EventManagerTakeBikesFromStation;16200;SUCCESS;9
1;EventManagerTakeBikesFromStation;16200;SUCCESS;147
1;EventManagerTakeBikesFromStation;16200;SUCCESS;147
1;EventManagerTakeBikesFromStation;16200;SUCCESS;147
1;EventManagerTakeBikesFromStation;16200;SUCCESS;147
1;EventManagerTakeBikesFromStation;16200;SUCCESS;147
1;EventManagerTakeBikesFromStation;16200;SUCCESS;147
1;EventManagerTakeBikesFromStation;16200;SUCCESS;147
1;EventManagerTakeBikesFromStation;16200;SUCCESS;167
1;EventManagerTakeBikesFromStation;16200;SUCCESS;167
1;EventManagerTakeBikesFromStation;16200;SUCCESS;167
1;EventManagerTakeBikesFromStation;16200;SUCCESS;109
1;EventManagerTakeBikesFromStation;16200;SUCCESS;109
1;EventManagerTakeBikesFromStation;16200;SUCCESS;109
1;EventManagerTakeBikesFromStation;16200;SUCCESS;109
1;EventManagerTakeBikesFromStation;16200;SUCCESS;109
1;EventManagerTakeBikesFromStation;16200;SUCCESS;109
1;EventManagerTakeBikesFromStation;16200;SUCCESS;109
1;EventManagerTakeBikesFromStation;16200;SUCCESS;109
1;EventManagerAddBikesToStation;16238;SUCCESS;49
1;EventManagerAddBikesToStation;16287;SUCCESS;49
1;EventManagerAddBikesToStation;16344;SUCCESS;78
1;EventManagerAddBikesToStation;16428;SUCCESS;79
1;EventManagerAddBikesToStation;16539;SUCCESS;75
1;EventManagerAddBikesToStation;16584;SUCCESS;75
1;EventManagerAddBikesToStation;16685;SUCCESS;80
1;EventManagerAddBikesToStation;16777;SUCCESS;142
1;EventManagerAddBikesToStation;16832;SUCCESS;142
1;EventManagerAddBikesToStation;16896;SUCCESS;142
1;EventManagerAddBikesToStation;16953;SUCCESS;80
1;EventManagerAddBikesToStation;16958;SUCCESS;142
1;EventManagerAddBikesToStation;16981;SUCCESS;49
1;EventManagerAddBikesToStation;17014;SUCCESS;80
1;EventManagerAddBikesToStation;17018;SUCCESS;142
